id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
670544036866270163,Amazing two bed room apt in boston beacon hill,373675137,Liya,,Beacon Hill,42.36091,-71.06944,Entire home/apt,79,29,4,2023-10-29,0.25,48,166,3,
670559820149361567,Nice 1 bed apt with extra bed @living room Boston,373675137,Liya,,Beacon Hill,42.36023,-71.0711,Entire home/apt,120,29,6,2024-03-13,0.32,48,196,4,
670916106980265201,Full Bedroom B in #1349: JFK/UMass,297860058,Ferran,,Dorchester,42.31879,-71.05308,Private room,50,91,0,,,152,308,0,
670923183110769496,Queen Bedroom D in #726: Allston,297860058,Ferran,,Allston,42.35893,-71.12968,Private room,56,91,0,,,152,299,0,
670947115448817919,Queen Bedroom A in #352: JFK/UMass,297860058,Ferran,,Dorchester,42.31891,-71.05537,Private room,62,91,0,,,152,309,0,
670949603456136553,Queen Bedroom C in #236: Fenway,297860058,Ferran,,Fenway,42.34382,-71.09587,Private room,65,91,0,,,152,298,0,
670954497384474909,Queen Bedroom C in #427: Mission Hill,297860058,Ferran,,Mission Hill,42.3302039284465,-71.1037751272104,Private room,50,91,0,,,152,307,0,
671034600794115223,Secure and Spacious Private Room with Queen Bed,2356643,StayNue,,Roxbury,42.32767,-71.08827,Private room,35,1,16,2023-08-11,0.80,52,310,5,STR-460218
671063039866440797,Lovely 3 Bedroom In Boston/Lower Mills,469508099,Solange,,Mattapan,42.27282100619038,-71.07049428992894,Entire home/apt,257,3,1,2024-03-16,1,1,364,1,STR-525549
671271554310520439,One Bedroom By Boston Common,316148588,TemplePlace,,Downtown,42.35593,-71.06118,Entire home/apt,113,2,47,2024-03-05,2.32,4,178,41,STR-524468
671483402789926623,Modern Top floor 2 bedroom condo,445030990,Ana F,,East Boston,42.38001,-71.02828,Entire home/apt,250,4,8,2023-11-26,0.44,2,167,2,STR-483349
671642209257907659,Avatar - 48ft Motor Yacht,92691757,Melissa,,Charlestown,42.370166457966135,-71.06139777478882,Entire home/apt,336,1,0,,,8,134,0,STR-420570
671954036763058130,Private small room near the T,19246369,Joe,,Charlestown,42.38224397743521,-71.07944113663274,Private room,69,20,2,2023-09-16,0.24,1,81,2,
673740923378213133,Awesome Apt in the Heart of Back Bay!,423270067,Harry And Susie,,Back Bay,42.34543,-71.08172,Entire home/apt,398,1,44,2024-03-17,2.17,27,314,27,Exempt: This listing is a unit used for furnished institutional or business stays
673911068470916090,The Hideaway in Charlestown,406987220,Alexander,,Charlestown,42.37449,-71.06198,Entire home/apt,150,70,1,2022-12-01,0.06,1,113,0,
674200591572524984,"Large Room w/ Bath in Furnished Apt, good Wifi!",2356643,StayNue,,Brighton,42.36151,-71.14337,Private room,35,1,18,2024-03-11,1.00,52,301,8,STR-461419
674339474531785753,"Blueground | N. Station, w/d & gym, nr td garden",107434423,Blueground,,Downtown,42.365947,-71.063473,Entire home/apt,181,32,1,2023-08-25,0.14,372,317,1,
674344475189896557,"Blueground | Fenway, w/d, conc, & gym, near t",107434423,Blueground,,Fenway,42.3441154,-71.0995393,Entire home/apt,205,32,0,,,372,298,0,
674352532260416328,"Blueground | Beacon Hill, furnished & equipped",107434423,Blueground,,West End,42.36455,-71.0687657,Entire home/apt,242,32,0,,,372,298,0,
674465521265134935,Lovely 2-Bedroom Condo by Jamaica Pond,350745928,Marko,,Jamaica Plain,42.3223593,-71.1127947,Entire home/apt,280,6,16,2024-03-20,0.84,1,86,13,STR-544844
